Make,Model,Engine Fuel Type,Transmission Type,Driven_Wheels,Market Category,Vehicle Size,Vehicle Style,Year,Engine HP,Engine Cylinders,Number of Doors,highway MPG,city mpg,Popularity,MSRP
BMW,1 Series M,premium unleaded (required),MANUAL,rear wheel drive,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,2011,335.0,6.0,2.0,26,19,3916,46135
BMW,1 Series,premium unleaded (required),MANUAL,rear wheel drive,"Luxury,Performance",Compact,Convertible,2011,300.0,6.0,2.0,28,19,3916,40650
BMW,1 Series,premium unleaded (required),MANUAL,rear wheel drive,"Luxury,High-Performance",Compact,Coupe,2011,300.0,6.0,2.0,28,20,3916,36350
BMW,1 Series,premium unleaded (required),MANUAL,rear wheel drive,"Luxury,Performance",Compact,Coupe,2011,230.0,6.0,2.0,28,18,3916,29450
BMW,1 Series,premium unleaded (required),MANUAL,rear wheel drive,Luxury,Compact,Convertible,2011,230.0,6.0,2.0,28,18,3916,34500
BMW,1 Series,premium unleaded (required),MANUAL,rear wheel drive,"Luxury,Performance",Compact,Coupe,2012,230.0,6.0,2.0,28,18,3916,31200
BMW,1 Series,premium unleaded (required),MANUAL,rear wheel drive,"Luxury,Performance",Compact,Convertible,2012,300.0,6.0,2.0,26,17,3916,44100
BMW,1 Series,premium unleaded (required),MANUAL,rear wheel drive,"Luxury,High-Performance",Compact,Coupe,2012,300.0,6.0,2.0,28,20,3916,39300
BMW,1 Series,premium unleaded (required),MANUAL,rear wheel drive,Luxury,Compact,Convertible,2012,230.0,6.0,2.0,28,18,3916,36900
BMW,1 Series,premium unleaded (required),MANUAL,rear wheel drive,Luxury,Compact,Convertible,2013,230.0,6.0,2.0,27,18,3916,37200
BMW,1 Series,premium unleaded (required),MANUAL,rear wheel drive,"Luxury,High-Performance",Compact,Coupe,2013,300.0,6.0,2.0,28,20,3916,39600
BMW,1 Series,premium unleaded (required),MANUAL,rear wheel drive,"Luxury,Performance",Compact,Coupe,2013,230.0,6.0,2.0,28,19,3916,31500
BMW,1 Series,premium unleaded (required),MANUAL,rear wheel drive,"Luxury,Performance",Compact,Convertible,2013,300.0,6.0,2.0,28,19,3916,44400
BMW,1 Series,premium unleaded (required),MANUAL,rear wheel drive,Luxury,Compact,Convertible,2013,230.0,6.0,2.0,28,19,3916,37200
BMW,1 Series,premium unleaded (required),MANUAL,rear wheel drive,"Luxury,High-Performance",Compact,Convertible,2013,320.0,6.0,2.0,25,18,3916,48250
BMW,1 Series,premium unleaded (required),MANUAL,rear wheel drive,"Luxury,High-Performance",Compact,Coupe,2013,320.0,6.0,2.0,28,20,3916,43550
Audi,100,regular unleaded,MANUAL,front wheel drive,Luxury,Midsize,Sedan,1992,172.0,6.0,4.0,24,17,3105,2000
Audi,100,regular unleaded,AUTOMATIC,all wheel drive,Luxury,Midsize,Wagon,1992,172.0,6.0,4.0,20,16,3105,2000
Audi,100,regular unleaded,MANUAL,all wheel drive,Luxury,Midsize,Sedan,1992,172.0,6.0,4.0,21,16,3105,2000
Audi,100,regular unleaded,MANUAL,front wheel drive,Luxury,Midsize,Sedan,1993,172.0,6.0,4.0,24,17,3105,2000
Audi,100,regular unleaded,AUTOMATIC,all wheel drive,Luxury,Midsize,Wagon,1993,172.0,6.0,4.0,20,16,3105,2000
Audi,100,regular unleaded,MANUAL,all wheel drive,Luxury,Midsize,Sedan,1993,172.0,6.0,4.0,21,16,3105,2000
Audi,100,regular unleaded,AUTOMATIC,front wheel drive,Luxury,Midsize,Wagon,1994,172.0,6.0,4.0,21,16,3105,2000
Audi,100,regular unleaded,MANUAL,all wheel drive,Luxury,Midsize,Sedan,1994,172.0,6.0,4.0,22,16,3105,2000
Audi,100,regular unleaded,MANUAL,front wheel drive,Luxury,Midsize,Sedan,1994,172.0,6.0,4.0,22,17,3105,2000
Audi,100,regular unleaded,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,1994,172.0,6.0,4.0,22,16,3105,2000
Audi,100,regular unleaded,AUTOMATIC,all wheel drive,Luxury,Midsize,Wagon,1994,172.0,6.0,4.0,21,16,3105,2000
FIAT,124 Spider,premium unleaded (recommended),MANUAL,rear wheel drive,Performance,Compact,Convertible,2017,160.0,4.0,2.0,35,26,819,27495
Mercedes-Benz,190-Class,regular unleaded,MANUAL,rear wheel drive,Luxury,Compact,Sedan,1991,130.0,4.0,4.0,26,18,617,2000
Mercedes-Benz,190-Class,regular unleaded,MANUAL,rear wheel drive,Luxury,Compact,Sedan,1991,158.0,6.0,4.0,25,17,617,2000
Mercedes-Benz,190-Class,regular unleaded,MANUAL,rear wheel drive,Luxury,Compact,Sedan,1992,158.0,6.0,4.0,25,17,617,2000
Mercedes-Benz,190-Class,regular unleaded,MANUAL,rear wheel drive,Luxury,Compact,Sedan,1992,130.0,4.0,4.0,26,18,617,2000
Mercedes-Benz,190-Class,regular unleaded,MANUAL,rear wheel drive,Luxury,Compact,Sedan,1993,130.0,4.0,4.0,26,18,617,2000
Mercedes-Benz,190-Class,regular unleaded,MANUAL,rear wheel drive,Luxury,Compact,Sedan,1993,158.0,6.0,4.0,25,17,617,2000
BMW,2 Series,premium unleaded (required),AUTOMATIC,rear wheel drive,"Luxury,Performance",Compact,Coupe,2016,240.0,4.0,2.0,35,23,3916,32850
BMW,2 Series,premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Compact,Convertible,2016,240.0,4.0,2.0,34,23,3916,38650
BMW,2 Series,premium unleaded (required),AUTOMATIC,rear wheel drive,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,2016,320.0,6.0,2.0,31,20,3916,48750
BMW,2 Series,premium unleaded (required),AUTOMATIC,all wheel drive,"Luxury,Performance",Compact,Coupe,2016,240.0,4.0,2.0,35,23,3916,34850
BMW,2 Series,premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Compact,Convertible,2016,240.0,4.0,2.0,34,22,3916,40650
BMW,2 Series,premium unleaded (required),AUTOMATIC,rear wheel drive,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,2016,320.0,6.0,2.0,31,20,3916,44150
BMW,2 Series,premium unleaded (required),MANUAL,rear wheel drive,"Luxury,Performance",Compact,Coupe,2016,240.0,4.0,2.0,34,22,3916,32850
BMW,2 Series,premium unleaded (required),AUTOMATIC,all wheel drive,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,2016,320.0,6.0,2.0,30,20,3916,46150
BMW,2 Series,premium unleaded (required),AUTOMATIC,rear wheel drive,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,2016,320.0,6.0,2.0,30,20,3916,50750
BMW,2 Series,premium unleaded (recommended),AUTOMATIC,all wheel drive,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,2017,335.0,6.0,2.0,31,21,3916,46450
BMW,2 Series,premium unleaded (recommended),AUTOMATIC,rear wheel drive,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,2017,335.0,6.0,2.0,32,21,3916,49050
BMW,2 Series,premium unleaded (recommended),AUTOMATIC,all wheel drive,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,2017,335.0,6.0,2.0,32,21,3916,51050
BMW,2 Series,premium unleaded (recommended),AUTOMATIC,rear wheel drive,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,2017,335.0,6.0,2.0,32,21,3916,44450
BMW,2 Series,premium unleaded (recommended),AUTOMATIC,rear wheel drive,"Luxury,Performance",Compact,Convertible,2017,248.0,4.0,2.0,34,23,3916,38950
BMW,2 Series,premium unleaded (recommended),AUTOMATIC,rear wheel drive,"Luxury,Performance",Compact,Coupe,2017,248.0,4.0,2.0,35,24,3916,33150
BMW,2 Series,premium unleaded (recommended),AUTOMATIC,all wheel drive,"Luxury,Performance",Compact,Coupe,2017,248.0,4.0,2.0,33,24,3916,35150
BMW,2 Series,premium unleaded (recommended),AUTOMATIC,all wheel drive,Luxury,Compact,Convertible,2017,248.0,4.0,2.0,33,23,3916,40950
Audi,200,regular unleaded,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,1990,162.0,5.0,4.0,20,16,3105,2000
Audi,200,regular unleaded,MANUAL,all wheel drive,Luxury,Midsize,Wagon,1990,162.0,5.0,4.0,22,15,3105,2000
Audi,200,regular unleaded,MANUAL,all wheel drive,Luxury,Midsize,Sedan,1990,162.0,5.0,4.0,23,15,3105,2000
Audi,200,regular unleaded,MANUAL,all wheel drive,"Luxury,Performance",Midsize,Sedan,1991,217.0,5.0,4.0,22,16,3105,2000
Audi,200,regular unleaded,MANUAL,all wheel drive,"Luxury,Performance",Midsize,Wagon,1991,217.0,5.0,4.0,22,16,3105,2000
Audi,200,regular unleaded,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,1991,162.0,5.0,4.0,20,16,3105,2000
Chrysler,200,flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,2015,184.0,4.0,4.0,36,23,1013,25170
Chrysler,200,flex-fuel (unleaded/E85),AUTOMATIC,all wheel drive,"Flex Fuel,Performance",Midsize,Sedan,2015,295.0,6.0,4.0,29,18,1013,29370
Chrysler,200,flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,"Flex Fuel,Performance",Midsize,Sedan,2015,184.0,4.0,4.0,36,23,1013,26625
Chrysler,200,flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,2016,184.0,4.0,4.0,36,23,1013,21995
Chrysler,200,flex-fuel (unleaded/E85),AUTOMATIC,all wheel drive,"Flex Fuel,Performance",Midsize,Sedan,2016,295.0,6.0,4.0,29,18,1013,31785
Chrysler,200,flex-fuel (unleaded/E85),AUTOMATIC,all wheel drive,"Flex Fuel,Performance",Midsize,Sedan,2017,295.0,6.0,4.0,28,18,1013,29905
Chrysler,200,flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,2017,184.0,4.0,4.0,36,23,1013,26685
Nissan,200SX,regular unleaded,MANUAL,front wheel drive,0,Compact,Coupe,1996,115.0,4.0,2.0,36,26,2009,2000
Nissan,200SX,regular unleaded,MANUAL,front wheel drive,Performance,Compact,Coupe,1996,140.0,4.0,2.0,29,21,2009,2000
Nissan,200SX,regular unleaded,MANUAL,front wheel drive,Performance,Compact,Coupe,1997,140.0,4.0,2.0,29,21,2009,2000
Nissan,200SX,regular unleaded,MANUAL,front wheel drive,0,Compact,Coupe,1997,115.0,4.0,2.0,35,25,2009,2000
Nissan,200SX,regular unleaded,MANUAL,front wheel drive,0,Compact,Coupe,1998,115.0,4.0,2.0,35,25,2009,2000
Nissan,200SX,regular unleaded,MANUAL,front wheel drive,Performance,Compact,Coupe,1998,140.0,4.0,2.0,28,20,2009,2073
Nissan,240SX,regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Coupe,1996,155.0,4.0,2.0,26,19,2009,3713
Nissan,240SX,regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Coupe,1997,155.0,4.0,2.0,26,19,2009,3910
Nissan,240SX,regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Coupe,1998,155.0,4.0,2.0,25,20,2009,4299
Volvo,240,regular unleaded,MANUAL,rear wheel drive,Luxury,Midsize,Wagon,1991,114.0,4.0,4.0,26,19,870,2000
Volvo,240,regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Wagon,1991,114.0,4.0,4.0,23,18,870,2000
Volvo,240,regular unleaded,MANUAL,rear wheel drive,Luxury,Midsize,Sedan,1991,114.0,4.0,4.0,26,19,870,2000
Volvo,240,regular unleaded,MANUAL,rear wheel drive,Luxury,Midsize,Sedan,1992,114.0,4.0,4.0,26,19,870,2000
Volvo,240,regular unleaded,MANUAL,rear wheel drive,Luxury,Midsize,Wagon,1992,114.0,4.0,4.0,26,19,870,2000
Volvo,240,regular unleaded,MANUAL,rear wheel drive,Luxury,Midsize,Sedan,1993,114.0,4.0,4.0,26,19,870,2000
Volvo,240,regular unleaded,MANUAL,rear wheel drive,Luxury,Midsize,Wagon,1993,114.0,4.0,4.0,25,18,870,2000
Mazda,2,regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,4dr Hatchback,2012,100.0,4.0,4.0,35,29,586,16020
Mazda,2,regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,4dr Hatchback,2012,100.0,4.0,4.0,34,28,586,16860
Mazda,2,regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,4dr Hatchback,2013,100.0,4.0,4.0,34,28,586,17050
Mazda,2,regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,4dr Hatchback,2013,100.0,4.0,4.0,35,29,586,16210
Mazda,2,regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,4dr Hatchback,2014,100.0,4.0,4.0,34,28,586,17050
Mazda,2,regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,4dr Hatchback,2014,100.0,4.0,4.0,35,29,586,16210
BMW,3 Series Gran Turismo,premium unleaded (required),AUTOMATIC,all wheel drive,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,2015,300.0,6.0,4.0,30,20,3916,47250
BMW,3 Series Gran Turismo,premium unleaded (required),AUTOMATIC,all wheel drive,"Hatchback,Luxury",Midsize,4dr Hatchback,2015,240.0,4.0,4.0,33,22,3916,41850
